ID;NOM;TYPE;PAYANT;ADRESSE;ARRONDISSEMENT;OUVERTURE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
1;Eglise Reformée de Pentemont;Lieux de culte;Non;106 Rue de Grenelle;75007;;;;;;;;;48.8564498108;2.32188681685
2;Eglise Notre-Dame des Blancs Manteaux;Lieux de culte;Non;12  RUE BLANCS MANTEAUX;75004;;;;;;;;;48.8589556883;2.35777321451
3;Médiathèque Marguerite Duras;Bibliothèque;Non;115 rue de bagnolet;75020;Ouvert;;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;12:30 - 17:30;13:30 - 17:30;48.8601351396;2.40283581734
4;Eglise Notre-Dame des Victoires;Lieux de culte;Non;1  RUE NOTRE-DAME DES VICTOIRES;75002;;;;;;;;;48.8667669954;2.34095079155
5;Brumisateur Square 122 rue des Poissonniers;Brumisateur;Non;122 rue des Poissonniers;75018;Ouvert;;;;;;;;48.8949629357;2.3537317343
6;Brumisateur Jardin Serge Gainsbourg;Brumisateur;Non;9 avenue de la Porte des Lilas;75019;Ouvert;;;;;;;;48.8777164813;2.40771537219
7;Brumisateur Square Debrousse;Brumisateur;Non;148 rue de Bagnolet;75020;Ouvert;;;;;;;;48.8620636828;2.40674223308
8;Brumisateur Square de la Gare de Charonne;Brumisateur;Non;59 boulevard Davout;75020;;;;;;;;;48.8522988192;2.40977120415
9;Chapelle Saint-Lazare;Lieux de culte;Non;9  SQ ALBAN SATRAGNE;75010;;;;;;;;;48.8756047254;2.35430159271
10;Eglise Saint-François de Sales;Lieux de culte;Non;15  RUE AMPERE;75017;;;;;;;;;48.8849140712;2.30501390316
11;Conciergerie;Musée;Oui;2 boulevard du Palais;75001;;;;;;;;;48.8561703669;2.34576773252
12;Piscine Saint-Merri / Marie-Marvingt;Piscine;Oui;16 rue du renard;75004;Ouvert;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8591149344;2.35249030484
13;Piscine Joséphine-Baker;Piscine;Oui;quai François Mauriac;75013;Fermé;07:00 - 08:30 / 10:30 - 22:00;07:00 - 08:30 / 10:30 - 22:00;07:00 - 08:30 / 10:30 - 22:00;07:00 - 08:30 / 10:30 - 22:00;07:00 - 08:30 / 10:30 - 22:00;09:00 - 21:00;09:00 - 21:00;48.8360652109;2.37616573854
14;Eglise Notre-Dame de Bercy;Lieux de culte;Non;10  PL LACHAMBEAUDIE;75012;;;;;;;;;48.8363173954;2.38722245611
15;Eglise Catholique Armenienne;Lieux de culte;Non;10b RUE THOUIN;75005;;;;;;;;;48.8450098454;2.34880502957
16;Eglise Saint-Louis Saint-Paul;Lieux de culte;Non;99b RUE SAINT-ANTOINE;75004;;;;;;;;;48.8546193334;2.36144249454
17;Terrain de boules de Passy;Terrain de boules;;39 AVENUE DE SAINT CLOUD;75016;;;;;;;;;48.8571031836;2.25216210001
18;Eglise Saint-Eustache;Lieux de culte;Non;140  RUE RAMBUTEAU;75001;;;;;;;;;48.8633939742;2.34513029211
19;Musée de l'Orangerie;Musée;Oui;Jardin Tuileries;75001;;;;;;;;;48.8637921609;2.32259588942
20;Musée National des Arts Asiatiques Guimet;Musée;Oui;6 Place d'Iéna;75016;;;;;;;;;48.8653839528;2.29358091084
21;Eglise Armenienne Saint-Jean Baptiste;Lieux de culte;Non;15  RUE JEAN GOUJON;75008;;;;;;;;;48.8656997357;2.30706102503
22;Eglise Saint-Martin-des-Marais;Lieux de culte;Non;36  RUE ALBERT THOMAS;75010;;;;;;;;;48.8700429285;2.36294485013
23;Chapelle de l'Eglise Reformée de Belleville;Lieux de culte;Non;97  RUE JULIEN LACROIX;75020;;;;;;;;;48.8726421877;2.38191957815
24;Brumisateur Square Séverine;Brumisateur;Non;1 avenue de la porte de Bagnolet;75020;Ouvert;;;;;;;;48.8652628687;2.40954807244
25;Brumisateur Parc floral Pavillon 12;Brumisateur;Non;Parc Floral;75012;Ouvert;;;;;;;;48.8386909174;2.44368054265
26;Terrain de boules Jules Ferry;Terrain de boules;Non;35   BOULEVARD RICHARD LENOIR;75011;;;;;;;;;48.8666233906;2.36898191798
27;Jeu de boules de Vincennes;Terrain de boules;;16 w Route du Donjon;75012;;;;;;;;;48.8444807801;2.4485629167
28;Eglise Saint-Eugène Sainte-Cecile;Lieux de culte;Non;4b RUE SAINTE-CECILE;75009;;;;;;;;;48.8733406612;2.34717304446
29;Eglise Saint-Vincent de Paul;Lieux de culte;Non;3b RUE BELZUNCE;75010;;;;;;;;;48.8789459066;2.35191712566
30;Cité des sciences et de l'industrie;Musée;Oui;30 Avenue Corentin Cariou;75019;;;;;;;;;48.895674827;2.38803219768
31;MAIRIE DU 12E;Mairie d'arrondissement;Non;130 avenue DAUMESNIL;75012;Fermé;8h30 - 17h;11:30 - 14:00;8h30 - 17h;16:00 - 17:00;12:45 - 14:00;9h - 12h30;Fermé;48.8411116033;2.38824019713
32;Piscine Aspirant Dunand;Piscine;Oui;20 Rue Saillard;75014;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8318218586;2.32619844257
33;Bibliothèque Nationale de France François Mitterand;Bibliothèque;Non;Quai François-Mauriac;75013;;;;;;;;;48.8336365294;2.37581757386
34;Eglise Notre-Dame d'esperance;Lieux de culte;Non;47  RUE ROQUETTE;75011;;;;;;;;;48.8559678308;2.37458976743
35;Eglise Sainte-Elisabeth;Lieux de culte;Non;195  RUE TEMPLE;75003;;;;;;;;;48.8660832998;2.3604915317
36;Piscine Henry de Montherlant;Piscine;Oui;30, boulevard Lannes;75016;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8672907949;2.27152835361
37;Eglise Saint-Joseph;Lieux de culte;Non;4  RUE DARBOY;75011;;;;;;;;;48.8689624237;2.37337401388
38;Brumisateur Square des Cendriers;Brumisateur;Non;30 rue Duris;75020;Ouvert;;;;;;;;48.8659300397;2.3882548508
39;Ombrière;Ombrière;Non;35 RUE HENRI HUCHARD;75018;Ouvert;;;;;;;;48.8989502442;2.32977363225
40;Eglise Saint-Philippe du Roule;Lieux de culte;Non;154  RUE FAUBOURG SAINT HONORE;75008;;;;;;;;;48.8734602133;2.3105146755
41;Eglise Saint-Louis d'antin;Lieux de culte;Non;63  RUE CAUMARTIN;75009;;;;;;;;;48.8745001755;2.32778426167
42;Eglise Saint-Laurent;Lieux de culte;Non;119b RUE FAUBOURG SAINT MARTIN;75010;;;;;;;;;48.8748003397;2.35829306607
43;Eglise Evangelique de l'Etoile;Lieux de culte;Non;54  AV GRANDE ARMEE;75017;;;;;;;;;48.8769044785;2.28704316764
44;Eglise Saint-Charles de Monceau;Lieux de culte;Non;22b RUE LEGENDRE;75017;;;;;;;;;48.8827027349;2.31279278405
45;Eglise Saint-Pierre de Montmartre;Lieux de culte;Non;2  RUE MONT CENIS;75018;;;;;;;;;48.8866462087;2.34209530519
46;Piscine Georges Drigny;Piscine;Oui;18, rue Bochart de Saron;75009;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8820348182;2.3422219785
47;MAIRIE DU 11E;Mairie d'arrondissement;Non;12 place LEON BLUM;75011;;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;9h - 12h30;Fermé;48.8585136525;2.37942185521
48;Piscine Didot;Piscine;Oui;22, avenue Georges Lafenestre;75014;Fermé;10:00 - 18:00;08:30 - 18:00;08:30 - 19:30;08:30 - 18:00;08:30 - 18:00;10:00 - 15:00;10:00 - 15:00;48.8248421761;2.30975858045
49;Eglise Saint-Dominique;Lieux de culte;Non;16  RUE TOMBE ISSOIRE;75014;;;;;;;;;48.8320886983;2.33501168885
50;Panthéon;Musée;Oui;Place du Panthéon;75005;;;;;;;;;48.846212129;2.34604424603
51;Eglise Saint-Joseph des Carmes;Lieux de culte;Non;70  RUE VAUGIRARD;75006;;;;;;;;;48.848456578;2.33033161982
52;Eglise Roumaine;Lieux de culte;Non;38  RUE RIBERA;75016;;;;;;;;;48.8519559268;2.26922662145
53;Eglise Saint-Thomas d'aquin;Lieux de culte;Non;4  PL SAINT-THOMAS D'AQUIN;75007;;;;;;;;;48.8564085723;2.32764492131
54;Brumisateur Îlot Riquet;Brumisateur;Non;Jardin Îlot Riquet;75019;Ouvert;;;;;;;;48.8899028926;2.37366759259
55;Terrain de boules Avenue Junot;Terrain de boules;Non;17 AVENUE JUNOT;75018;;;;;;;;;48.8881059685;2.33545784105
56;Cité de la Musique;Musée;Oui;221 Avenue Jean Jaurès;75019;;;;;;;;;48.8898141771;2.3939422436
57;Musée du 11 Conti - Monnaie de Paris;Musée;Oui;11, quai de Conti;75006;;;;;;;;;48.8567028168;2.3391446692
58;Aquaboulevard;Piscine;Oui;4-6 Rue Louis Armand;75015;;;;;;;;;48.8318967031;2.27613400683
59;Eglise Saint-Christophe;Lieux de culte;Non;2  RUE SAINT-CHRISTOPHE;75015;;;;;;;;;48.844697639;2.27931387796
60;Eglise Sainte-Marguerite;Lieux de culte;Non;36  RUE SAINT-BERNARD;75011;;;;;;;;;48.8531003371;2.38143147155
61;Bibliothèque André Malraux;Bibliothèque;Non;112 rue de Rennes;75006;Ouvert;;14:00 - 19:00;13:30 - 17:30;14:00 - 19:00;13:30 - 17:30;12:00 - 17:00;;48.8479497669;2.32744931896
62;Bain-douche Charenton;Bains-douches;Non;188, rue de Charenton;75012;;;;;;;;;48.8433645794;2.38505828514
63;Bain-douche Lacépède;Bains-douches;Non;50, rue Lacepède;75005;;;;;;;;;48.8443785466;2.34999832201
64;Terrain de boules de Saint-Mandé;Terrain de boules;;21 ROUTE DU LAC DE SAINT MANDE;75012;;;;;;;;;48.8380887476;2.42314425277
65;Piscine Georges Rigal;Piscine;Oui;115, boulevard de Charonne;75011;Ouvert;10:00 - 18:00;08:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.856599715;2.39349913013
66;Musée d'Art et d'Histoire du judaïsme;Musée;Oui;71 Rue du Temple;75003;;;;;;;;;48.8612095185;2.35550907045
67;Eglise Notre-Dame de Bonne Nouvelle;Lieux de culte;Non;19b RUE BEAUREGARD;75002;;;;;;;;;48.8695390725;2.34999443526
68;Muséee Grévin;Musée;Oui;10 Boulevard Montmartre;75009;;;;;;;;;48.8719307816;2.34231886746
69;Brumisateur Square Léon Serpollet;Brumisateur;Non;25 rue des Cloys;75018;Ouvert;;;;;;;;48.892154614;2.33864990997
70;Brumisateur Parc Floral Pavillon 14;Brumisateur;Non;Parc Floral;75012;Ouvert;;;;;;;;48.8379377914;2.44335287373
71;Chapelle Expiatoire;Lieux de culte;Non;29  RUE PASQUIER;75008;;;;;;;;;48.8737132671;2.32300436532
72;Musée En Herbe du Jardin d'acclimatation;Musée;Oui;23 rue de L'Arbre-Sec;75016;;;;;;;;;48.8774557655;2.26895373018
73;Baignade Bassin de la Villette;Baignade extérieure;Non;Quai de la Loire;75019;;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;11h-13h / 13h30-15h30 / 16h-18h / 18h30-20h30;48.8857642619;2.37484799635
74;Piscine Champerret;Piscine;Oui;36, boulevard de Reims;75017;Ouvert;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;09:00 - 19:00;09:00 - 19:00;48.8886209981;2.29548777419
75;Basilique Sainte-Clotilde;Lieux de culte;Non;23b RUE LAS CASES;75007;;;;;;;;;48.8586673041;2.31953441349
76;Piscine Paul Valeyre;Piscine;Oui;24, rue Marguerite de Rochechouart;75009;Fermé;08:30 - 18:00;08:30 - 20:30;10:00 - 18:00;08:30 - 18:00;08:30 - 18:00;11:30 - 16:30;11:30 - 16:30;48.8779672658;2.34502151369
77;Terrain de boules Saint Bernard;Terrain de boules;Non;21 rue Saint Bernard;75011;;;;;;;;;48.8518638551;2.38132291127
78;Piscine La Plaine;Piscine;Oui;13, rue du Général Guillaumat;75015;Fermé;10:00 - 18:00;08:30 - 18:00;08:30 - 18:00;08:30 - 20:30;08:30 - 18:00;10:00 - 15:00;10:00 - 15:00;48.8276877055;2.29359971623
79;Eglise Saint-Pierre de Montrouge;Lieux de culte;Non;82  AV GENERAL LECLERC;75014;;;;;;;;;48.8287832682;2.32706015142
80;Eglise Saint-Lambert;Lieux de culte;Non;14b RUE BAUSSET;75015;;;;;;;;;48.8396032731;2.29831185578
81;Eglise de l'Hôpital du Val de Grace;Lieux de culte;Oui;1 Place Alphonse Laveran;75005;;;;;;;;;48.8409099281;2.3417884639
82;Eglise Saint-Sulpice;Lieux de culte;Non;PL SAINT SULPICE;75006;;;;;;;;;48.8509946926;2.33484459445
83;Eglise Saint-Julien Le Pauvre;Lieux de culte;Non;1  RUE SAINT-JULIEN LE PAUVRE;75005;;;;;;;;;48.8520087351;2.34705758389
84;Arc de Triomphe;Musée;Oui;Place Charles de Gaulle;75008;;;;;;;;;48.8737490632;2.29513082821
