ID;NOM;TYPE;PROP_VEGE_HAUTE;ADRESSE;ARRONDISSEMENT;OUVERTURE;OUVERTURE_24H;OUVERTURE_CANICULE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
1;PROMENADE RICHARD LENOIR  SQUARE BREGUET-SABIN (PROMENADE CLAIRE LACOMBE);Promenades ouvertes;30.906618;35   BOULEVARD RICHARD LENOIR;75011;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8572305032;2.37098358914
2;CIMETIERE DE L'EST PARISIEN DIT DU PÈRE LACHAISE;Cimetières;41.003679999999996;16   RUE DU REPOS;75020;Ouvert;Non;Non;08:00 - 17:30;08:00 - 17:30;08:00 - 17:30;08:00 - 17:30;08:00 - 17:30;08:30 - 17:30;09:00 - 17:30;48.8610496235;2.39428572743
3;CIMETIERE DE CHARONNE;Cimetières;16.530224;119, rue de Bagnolet;75020;Fermé;Non;Non;;;;;;;;48.8607183537;2.40367389809
4;SQUARE JEAN PERRIN;Promenades ouvertes;3.1988570000000003;2   AVENUE FRANKLIN D ROOSEVELT;75008;;Oui;Non;;;;;;;;48.8668940283;2.31162852557
5;SQUARE DU DONJON;Promenades ouvertes;54.469531;9  ROUTE DE LA  DAME BLANCHE;75012;;Non;Non;;;;;;;;48.8448257342;2.4431708283
6;JARDIN DE L'AVENUE FOCH - PELOUSE 19;Promenades ouvertes;30.431379999999997;10 AV FOCH;75016;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8718736031;2.28015611675
7;SQUARE D'ANVERS;Promenades ouvertes;10.921619;3 PL ANVERS;75009;Ouvert;Non;Non;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;09:00 - 19:00;09:00 - 19:00;48.8821747669;2.34437716381
8;JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN);Promenades ouvertes;2.722954;16 IMP BERTHAUD;75003;Ouvert;Non;Non;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;48.8616027681;2.35494715108
9;JARDIN DE L'INTENDANT;Promenades ouvertes;12.545893;2 AV TOURVILLE;75007;Ouvert;Non;Non;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;09:00 - 18:30;09:00 - 18:30;48.8544993253;2.31083932575
10;JARDIN DES COLONNES;Promenades ouvertes;0.0;2 PL SEOUL;75014;Ouvert;Non;Non;07:00 - 19:00;07:00 - 19:00;07:00 - 19:00;07:00 - 19:00;07:00 - 19:00;07:00 - 19:00;07:00 - 19:00;48.8363208059;2.31814238722
11;Bois de Vincennes;Bois;88.31705400000001;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8244025428;2.4285069357
12;CIMETIÈRE DE MONTROUGE;Cimetières non parisiens;10.043694;;75014;;Non;Non;;;;;;;;48.8225071122;2.31937332498
13;Société Equestre de l'Etrier;Bois;12.506482;Route des Lacs à Madrid;75016;;Non;Non;;;;;;;;48.8727597743;2.25739649492
14;Cercle du Bois de Boulogne;Bois;17.714904;Route de l'Etoile;75016;;Non;Non;;;;;;;;48.8724786218;2.26044182692
15;Le Polo de Bagatelle;Bois;9.282549999999999;Route des Moulins;75016;;Non;Non;;;;;;;;48.8674780792;2.23617440957
16;Concession location de barques;Bois;7.055066999999999;11 v Chemin de Ceinture du Lac Inférieur;75016;;Non;Non;;;;;;;;48.8635188138;2.2593165538
17;SEPE, Les petits navires;Bois;1.6489989999999999;Parc Floral, aire de jeux;75012;;Non;Non;;;;;;;;48.8371200626;2.44992841121
18;COULEE VERTE RENE DUMONT - PROMENADE DE LA RUE DU SAHEL;Promenades ouvertes;47.29154;2 RUE SAHEL;75012;Ouvert;Non;Non;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;09:00 - 19:00;09:00 - 19:00;48.8406793477;2.40472864184
19;PARC ANDRE CITROEN;Promenades ouvertes;15.172322;2 RUE MONTAGNE FAGE;75015;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;
20;;;;;;;;;;;;;;;;;
