ID;TYPE;MODELE;VOIE;COMMUNE;DISPONIBILITE;DEBUT_INDISPO;FIN_INDISPO;MOTIF_INDISPO;LATITUDE;LONGITUDE
1;BORNE_FONTAINE;BF Bayard;BOULEVARD PASTEUR;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8427472297;2.3128939116
2;BORNE_FONTAINE;BF Bayard;PLACE DU COMMERCE;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8449571496;2.29358112446
3;BORNE_FONTAINE;GHM Ronde;PLACE LOUIS LEPINE;PARIS 4EME ARRONDISSEMENT;OUI;;;;48.8552812309;2.34764790883
4;BORNE_FONTAINE;GHM Ville de Paris;RUE LEON SCHWARTZENBERG;PARIS 10EME ARRONDISSEMENT;OUI;;;;48.8758133659;2.35437698633
5;FONTAINE_ALBIEN;Fontaine à l'albien;RUE DU MOULIN DES PRES;PARIS 13EME ARRONDISSEMENT;OUI;;;;48.8276737191;2.35271045253
6;FONTAINE_ALBIEN;Fontaine à l'albien;RUE DE LA MADONE;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8925064004;2.36146020092
7;FONTAINE_ARCEAU;Fontaine Arceau;PLACE DE MORO GIAFFERI;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.8340665668;2.32185875275
8;FONTAINE_ARCEAU;Fontaine Arceau;RUE CESARIA EVORA;PARIS 19EME ARRONDISSEMENT;OUI;;;;48.8976751404;2.37474609791
9;FONTAINE_ARCEAU;Fontaine Arceau;PLACE DE LA NATION;PARIS 11EME ARRONDISSEMENT;OUI;;;;48.8485766992;2.39547211973
10;FONTAINE_BOIS;GHM Bois;BOULEVARD RICHARD LENOIR;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8600116796;2.37232145143
11;FONTAINE_BOIS;GHM Bois;PARC KELLERMANN;PARIS 13EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8184256484;2.35590968243
12;FONTAINE_BOIS;Ville de Paris Bois;SQUARE CDL PETIT DE JULLEVILLE;PARIS 17EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8833091221;2.28263654191
13;FONTAINE_BOIS;Particulier;SQUARE SAINT LAMBERT;PARIS 15EME ARRONDISSEMENT;NON;2020-12-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.842683686;2.29658209182
14;FONTAINE_BOIS;GHM Bois;PLACE ADOLPHE CHERIOUX;PARIS 15EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8401337443;2.30047446386
15;FONTAINE_BOIS;GHM Bois;RUE DE LA DUEE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-02T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8707266168;2.39592921589
16;FONTAINE_BOIS;GHM Bois;BOULEVARD DE REIMS;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.8891900913;2.2981442277
17;FONTAINE_BOIS;Particulier;RUE D AUBERVILLIERS;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8880841956;2.36693400638
18;FONTAINE_BOIS;GHM Bois;RUE DES RECOLLETS;PARIS 10EME ARRONDISSEMENT;NON;2021-02-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.875512373;2.36193043537
19;FONTAINE_BOIS;En brique;RUE DE LA POINTE D IVRY;PARIS 13EME ARRONDISSEMENT;NON;2021-02-10T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8230727378;2.36396344935
20;FONTAINE_BOIS;Particulier;RUE DU DESSOUS DES BERGES;PARIS 13EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8261587741;2.37509491271
21;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DE L ETOILE;PARIS 16EME ARRONDISSEMENT;NON;2020-11-20T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8732113274;2.26836711329
22;FONTAINE_BOIS;Bayard D1;QUAI DE JEMMAPES;PARIS 10EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8736561338;2.3636880847
23;FONTAINE_BOIS;GHM Bois;RUE JULIETTE DODU;PARIS 10EME ARRONDISSEMENT;NON;2020-12-03T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8755434111;2.36969204059
24;FONTAINE_BOIS;GHM Bois;SQUARE DES JARDINIERS;PARIS 11EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8519144194;2.39144351528
25;FONTAINE_BOIS;Santa Cole Atlantida;RUE THOMAS MANN;PARIS 13EME ARRONDISSEMENT;NON;2020-12-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8291118292;2.37996191861
26;FONTAINE_BOIS;GHM Bois;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2020-12-10T02:00:00+01:00;;FERMETURE HIVERNALE;48.8419619115;2.38711132425
27;FONTAINE_BOIS;GHM Bois;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2020-12-10T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.84241315;2.38863926052
28;FONTAINE_BOIS;Bayard BF3;RUE CASTAGNARY;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8297271353;2.30487689482
29;FONTAINE_BOIS;GHM Bois;RUE DE BELFORT;PARIS 11EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8567234753;2.38358739601
30;FONTAINE_BOIS;GHM Bois;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8664265519;2.31650413011
31;FONTAINE_BOIS;Particulier;PASSAGE BRULON;PARIS 12EME ARRONDISSEMENT;OUI;;;;48.8497475161;2.38033406683
32;FONTAINE_BOIS;GHM Bois;JARDIN DE LA GARE DE CHARONNE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8522543481;2.41045253355
33;FONTAINE_BOIS;GHM Bois;JARDIN DE LA GARE DE CHARONNE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8516324367;2.40985063953
34;FONTAINE_BOIS;GHM Bois;RUE DES ORMEAUX;PARIS 20EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8509149633;2.40010882134
35;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DE SEVRES A NEUILLY;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8554937033;2.2376772194
36;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8786756504;2.31057994602
